SateId,Panchayat
4,Diphu Town Panchayat
4,Bokajan Town Panchayat
4,Howraghat Town Panchayat
4,Dokmoka Town Panchayat
4,Umrangso Town Panchayat
4,Haflong Town Panchayat
4,Mahur Town Panchayat (DIMA HASAO)
4,Maibong Town Panchayat
4,Silchar Municipality
4,Lakhipur Municipality Municipality
4,Karimganj Municipality
4,Badarpur Town Panchayat
4,Hailakandi Municipality
4,Lala Town Panchayat
4,Bongaigaon Municipality
4,Abhayapuri Town Panchayat
4,Basugaon Town Panchayat
4,Bijni Town Panchayat
4,Palasbari Municipality
4,North Guwahati Town Panchayat
4,Guwahati Municipal Corporation
4,Tihu Town Panchayat
4,Nalbari Municipality
4,Mangaldoi Municipality
4,Kharupatia Town Panchayat
4,Tangla Town Panchayat
4,Udalguri Town Panchayat
4,Ramkrishnanagar Municipality
4,Sonai Municipality
4,Lakhipur Municipality
4,Lanka Municipality
4,Kajalgaon Municipality
4,Kokrajhar Municipality
4,Sipajhar Municipality
4,Golakganj Municipality
4,Jamugurihat Municipality
4,Sootea Municipality
4,Ramkrishna Nagar Municipality
4,Baithalangso Municipality
4,Fakiragram Municipality
5,Barsoi Town Panchayat
5,Danapur Cantonment Board
5,Ekma Bazar Town Panchayat
5,Harnaut Town Panchayat
5,Kochas Town Panchayat
5,Mahua Town Panchayat
5,Mohaniya Town Panchayat
5,Parsa Bazar Town Panchayat
5,Simari Bakhtiyarpur Town Panchayat
5,Sursand Town Panchayat
5,Ramnagar Town Panchayat (PASHCHIM CHAMPARAN)
5,Narkatiaganj Municipality
5,Bagaha Municipality
5,Chanpatia Town Panchayat
5,Bettiah Municipality
5,Raxaul Municipality
5,Sugauli Town Panchayat
5,Dhaka Municipality
5,Motihari Municipality
5,Areraj Town Panchayat
5,Kesaria Town Panchayat
5,Chakia Town Panchayat (PURBI CHAMPARAN)
5,Pakri Dayal Town Panchayat
5,Mehsi Town Panchayat
5,Sheohar Town Panchayat
5,Bairgania Town Panchayat
5,Belsand Town Panchayat
5,Sitamarhi Municipality
5,Dumra Town Panchayat
5,Janakpur Road Town Panchayat
5,Jainagar Town Panchayat
5,Madhubani Municipality
5,Jhanjharpur Town Panchayat
5,Ghoghardiha Town Panchayat
5,Nirmali Town Panchayat
5,Birpur Town Panchayat
5,Supaul Municipality
5,Jogabani Town Panchayat
5,Forbesganj Municipality
5,Araria Municipality
5,Thakurganj Town Panchayat
5,Bahadurganj Town Panchayat (KISHANGANJ)
5,Kishanganj Municipality
5,Banmankhi Town Panchayat
5,Purnea Municipal Corporation
5,Kasba Town Panchayat
5,Katihar Municipal Corporation
5,Manihari Town Panchayat
5,Madhepura Municipality
5,Murliganj Town Panchayat
5,Saharsa Municipality
5,Darbhanga Municipal Corporation
5,Benipur Municipality
5,Sahebganj Town Panchayat
5,Motipur Town Panchayat
5,Kanti Town Panchayat
5,Muzaffarpur Municipal Corporation
5,Kataiya Town Panchayat
5,Mirganj Town Panchayat (GOPALGANJ)
5,Gopalganj Municipality
5,Barauli Town Panchayat
5,Siwan Municipality
5,Maharajganj Town Panchayat (SIWAN)
5,Mairwa Town Panchayat
5,Rivilganj Town Panchayat
5,Chapra Municipal Corporation
5,Marhaura Town Panchayat
5,Dighwara Town Panchayat
5,Sonepur Town Panchayat
5,Lalganj Town Panchayat (VAISHALI)
5,Hajipur Municipality
5,Mahnar Municipality
5,Samastipur Municipality
5,Dalsinghsarai Town Panchayat
5,Rosera Town Panchayat
5,Teghara Town Panchayat
5,Bihat Municipality
5,Begusarai Municipal Corporation
5,Bakhri Town Panchayat
5,Balia Town Panchayat
5,Khagaria Municipality
5,Gogri Jamalpur Town Panchayat
5,Naugachhia Town Panchayat
5,Kahalgaon Town Panchayat
5,Sultanganj Municipality
5,Bhagalpur Municipal Corporation
5,Amarpur Town Panchayat
5,Banka Municipality
5,Munger Municipal Corporation
5,Jamalpur Municipality
5,Haveli Kharagpur Town Panchayat
5,Barahiya Town Panchayat
5,Lakhisarai Municipality
5,Barbigha Municipality
5,Sheikhpura Municipality
5,Biharsharif Municipal Corporation
5,Hilsa Municipality
5,Islampur Town Panchayat
5,Rajgir Town Panchayat
5,Silao Town Panchayat
5,Maner Town Panchayat
5,Danapur Municipality
5,Khagaul Municipality
5,Patna Municipal Corporation
5,Phulwari Sharif Municipality
5,Naubatpur Town Panchayat
5,Bikarm Town Panchayat
5,Masaurhi Municipality
5,Fatuha Municipality
5,Khusrupur Town Panchayat
5,Bakhtiyarpur Municipality
5,Barh Municipality
5,Mokama Municipality
5,Shahpur Town Panchayat (BHOJPUR)
5,Arrah Municipal Corporation
5,Koilwar Town Panchayat
5,Behea Town Panchayat
5,Jagdishpur Town Panchayat
5,Piro Town Panchayat
5,Dumraon Municipality
5,Buxar Municipality
5,Bhabua Municipality
5,Koath Town Panchayat
5,Bikramganj Municipality
5,Nasriganj Town Panchayat
5,Nokha Town Panchayat (ROHTAS)
5,Sasaram Municipality
5,Dehri Dalmiyanagar Municipality
5,Daudnagar Municipality
5,Rafiganj Town Panchayat
5,Aurangabad Municipality
5,Nabinagar Town Panchayat
5,Tekari Town Panchayat
5,Gaya Municipal Corporation
5,Sherghati Town Panchayat
5,Bodh Gaya Town Panchayat
5,Nawada Municipality
5,Warisaliganj Town Panchayat
5,Hisua Town Panchayat
5,Jamui Municipality
5,Jhajha Town Panchayat
5,Jehanabad Municipality
5,Makhdumpur Town Panchayat
5,Arwal Municipality
6,Chandigarh Municipal Corporation
7,Kunkuri Town Panchayat
7,Shivpur charcha Municipality
7,Baikunthpur Municipality
7,Manendragarh Municipality
7,Khongapani Town Panchayat
7,Jhagrakhand Town Panchayat
7,Nai ladri Town Panchayat
7,Chirimiri Municipal Corporation
7,Ramanujganj Town Panchayat
7,Balrampur Municipality (BALRAMPUR-CG)
7,Wadrafnagar Town Panchayat
7,Pratappur Town Panchayat
7,Jarhi Town Panchayat
7,Kusmi Town Panchayat
7,Surajpur Municipality
7,Bhatgaon Town Panchayat (SURAJPUR)
7,Premnagar Town Panchayat
7,Ambikapur Municipal Corporation
7,Lakhanpur Town Panchayat
7,Rajpur Town Panchayat (BALRAMPUR)
7,Sitapur Town Panchayat
7,Bagicha Town Panchayat
7,Jashpur Municipality
7,Pathalgaon Town Panchayat
7,Kotba Town Panchayat
7,Dharamjaigarh Town Panchayat
7,Lailunga Town Panchayat
7,Gharghoda Town Panchayat
7,Kirodimal Nagar Town Panchayat
7,Raigarh Municipal Corporation
7,Pussore Town Panchayat
7,Kharsia Municipality
7,Sarangarh Municipality
7,Saria Town Panchayat
7,Baramkela Town Panchayat
7,Katghora Municipality
7,Churikala Town Panchayat
7,Dipka Municipality
7,Pali Town Panchayat (KORBA)
7,Korba Municipal Corporation
7,Naila Janjgir Municipality
7,Akaltara Municipality
7,Baloda Town Panchayat
7,Nawagarh Town Panchayat (JANJGIR-CHAMPA)
7,Shivrinarayan Town Panchayat
7,Champa Municipality
7,Saragaon Town Panchayat
7,Sakti Municipality
7,Naya Baradwar Town Panchayat
7,Rahoud Town Panchayat
7,Kharod Town Panchayat
7,Dhabhara Town Panchayat
7,Chandrapur Town Panchayat
7,Adbhar Town Panchayat
7,Jaijaipur Town Panchayat
7,Gaurella Town Panchayat
7,Pendra Town Panchayat
7,Lormi Town Panchayat
7,Kota Town Panchayat
7,Ratanpur Municipality
7,Mungeli Municipality
7,Pathariya Town Panchayat
7,Sargaon Town Panchayat
7,Takhatpur Municipality
7,Bilaspur Municipal Corporation
7,Malhar Town Panchayat
7,Bodri Town Panchayat
7,Bilha Town Panchayat
7,Kawardha Municipality
7,Pipariya Town Panchayat
7,Bodla Town Panchayat
7,S.Lohara Town Panchayat
7,Pandariya Town Panchayat
7,Pandatarai Town Panchayat
7,Gandai Town Panchayat
7,Chhuikhadan Town Panchayat
7,Khairagarh municipality Municipality
7,Dongargarh Municipality
7,Rajnandgaon Municipal Corporation
7,Chhuriya Town Panchayat
7,Dongargaon Town Panchayat
7,Ambagarh Chowki Town Panchayat
7,Nawagarh Town Panchayat (BEMETARA)
7,Maro Town Panchayat
7,Bemetara Municipality
7,Saja Town Panchayat
7,Devkar Town Panchayat
7,Parpodi Town Panchayat
7,Than Khamharia Town Panchayat
7,Berla Town Panchayat
7,Dhamdha Town Panchayat
7,Ahiwara Municipality
7,Kumhari Municipality
7,Jamul Municipality
7,Bhilai Charoda Municipal Corporation
7,Bhilai Municipal Corporation
7,Durg Municipal Corporation
7,Utai Town Panchayat
7,Patan Town Panchayat (DURG)
7,Arjunda Town Panchayat
7,Gunderdehi Town Panchayat
7,Dondilohara Town Panchayat
7,Balod Municipality
7,Dalli Rajhara Municipality
7,Chikhlakasa Town Panchayat
7,Dondi Town Panchayat
7,Gurur Town Panchayat
7,Simga Town Panchayat
7,Bhatapara Municipality
7,Baloda Bazar Municipality
7,Lavan Town Panchayat
7,Palari Town Panchayat
7,Tundra Town Panchayat
7,Kasdol Town Panchayat
7,Bhatgaon Town Panchayat (BALODA BAZAR)
7,Bilaigarh Town Panchayat
7,Arang Municipality
7,Abhanpur Town Panchayat
7,Gobra Nawapara Municipality
7,Kurra Town Panchayat
7,Birgaon Municipal Corporation
7,Raipur Municipal Corporation
7,Mana Camp Town Panchayat
7,Fingeswar Town Panchayat
7,Rajim Town Panchayat
7,Tilda Newra Municipality
7,Kharora Town Panchayat
7,Gariabandh Municipality
7,Churra Town Panchayat
7,Basna Town Panchayat
7,Saraipali Municipality
7,Tumgaon Town Panchayat
7,Mahasamund Municipality
7,Pithora Town Panchayat
7,Bagbahara Municipality
7,Bhakhara Town Panchayat
7,Kurud Town Panchayat
7,Magarlod Town Panchayat
7,Aamdi Town Panchayat
7,Dhamtari Municipal Corporation
7,Nagri Town Panchayat (DHAMTARI)
7,Charama Town Panchayat
7,Bhanupratappur Town Panchayat
7,Kanker Municipality
7,Narharpur Town Panchayat
7,Antagarh Town Panchayat
7,Pakhajur Town Panchayat
7,Keshkal Town Panchayat
7,Vishrampur Town Panchayat
7,Kondagaon Municipality
7,Pharsgaon Town Panchayat
7,Jagdalpur Municipal Corporation
7,Bastar Town Panchayat
7,Narayanpur Municipality
7,Dantewada Municipality
7,Bade Bacheli Municipality
7,Barsoor Town Panchayat
7,Geedam Town Panchayat
7,Kirandul Municipality
7,Dornapal Town Panchayat
7,Konta Town Panchayat
7,Sukma Municipality
7,Bhopalpatnam Town Panchayat
7,Bijapur Municipality
7,Bhairamgarh Town Panchayat
7,RISALI Municipal Corporation
8,Amli Town Panchayat
9,Diu Municipality
9,Daman Municipality
8,Silvassa Town Panchayat
10,East Delhi Municipal Corporation
10,North Delhi Municipal Corporation
10,South Delhi Municipal Corporation
10,New Delhi Municipal Council NCT
10,Delhi Cantonment Board
11,Pernem Municipality
11,Mapusa Municipality
11,City Corporation Panaji Municipal Corporation
11,Bicholim Municipality
11,Sanquelim Municipality
11,Valpoi Municipality
11,Ponda Municipality
11,Mormugao Municipality
11,Margao Municipality
11,Cuncolim Municipality
11,Quepem Municipality
11,Curchorem Cacora Municipality
11,Sanguem Municipality
11,Canacona Municipality
12,Bopal-ghuma Municipality
12,Gandhinagar Municipal Corporation
12,Kadodara Municipality
12,Sachin Municipality
12,Rapar Municipality
12,Bhachau Municipality
12,Anjar Municipality
12,Bhuj Municipality
12,Mandvi Kachchh Municipality
12,Gandhidham Municipality
12,Tharad Municipality
12,Dhanera Municipality
12,Palanpur Municipality
12,Deesa Municipality
12,Bhabhar Municipality
12,Thara Municipality
12,Radhanpur Municipality
12,Sidhpur Municipality
12,Patan Municipality
12,Harij Municipality
12,Chanasma Municipality
12,Kheralu Municipality
12,Unjha Municipality
12,Visnagar Municipality
12,Vadnagar Municipality
12,Vijapur Municipality
12,Mahesana Municipality
12,Kadi Municipality
12,Khedbrahma Municipality
12,Vadali Municipality
12,Idar Municipality
12,Himatnagar Seva Sadan Municipality
12,Prantij Municipality
12,Talod Municipality
12,Modasa Municipality
12,Bayad Municipality
12,Kalol Municipality
12,Mansa Municipality (GANDHINAGAR)
12,Pethapur Municipality
12,Dehgam Municipality
12,Viramgam Municipality
12,Sanand Municipality
12,Ahmadabad Cantonment Board
12,Ahmadabad Municipal Corporation
12,Bareja Municipality
12,Dholka Municipality
12,Bavla Municipality
12,Barwala Municipality (BOTAD)
12,Dhandhuka Municipality
12,Halvad Municipality
12,Dhrangadhra Municipality
12,Patdi Municipality
12,Surendranagar Dudhrej Municipality
12,Wadhwan Municipality
12,Thangadh Municipality
12,Chotila Municipality
12,Limbdi Municipality
12,Maliya Miyana Municipality
12,Morbi Municipality
12,Wankaner Municipality
12,Rajkot Municipal Corporation
12,Jasdan Municipality
12,Gondal Municipality
12,Bhayavadar Municipality
12,Upleta Municipality
12,Dhoraji Municipality
12,Jetpur Navagadh Municipality
12,Okha Municipality
12,Dwarka Municipality
12,Salaya Municipality
12,Khambhalia Municipality
12,Sikka Municipality
12,Jamnagar Municipal Corporation
12,Dhrol Municipality
12,Kalavad Municipality
12,Jamraval Municipality
12,Bhanvad Municipality
12,Jamjodhpur Municipality
12,Porbandar Municipality
12,Chhaya Municipality
12,Ranavav Municipality
12,Kutiyana Municipality
12,Bantwa Municipality
12,Manavadar Municipality
12,Vanthali Municipality
12,Junagadh Municipal Corporation
12,Visavadar Municipality
12,Keshod Municipality
12,Mangrol Municipality
12,Chorvad Municipality
12,Talala Municipality
12,Veraval Municipality
12,Sutrapada Municipality
12,Kodinar Municipality
12,Una Municipality (GIR SOMNATH)
12,Babra Municipality
